"beta_hat","bias","rmse","covered","cindex","ibs","scenario","rep"
0.759325754200878,0.0661785736409328,0.00437960360914837,1,0.716334661354582,NA,"PH",1
0.533742131384996,-0.159405049174949,0.025409969702468,0,0.654291467404984,NA,"PH",2
0.707372407419416,0.0142252268594705,0.0002023570792034,1,0.688071188071188,NA,"PH",3
0.8080211745772,0.114873994017254,0.0131960345014761,1,0.662845994390928,NA,"PH",4
0.698326413938994,0.0051792333790488,2.68244583946532e-05,1,0.67330138837695,NA,"PH",5
0.601880722247517,-0.0912664583124284,0.00832956641289423,1,0.748783374983559,NA,"PH",6
0.713799276108975,0.0206520955490292,0.000426509050566234,1,0.68947628458498,NA,"PH",7
0.719040932660141,0.0258937521001956,0.000670486397826385,1,0.646545273135445,NA,"PH",8
0.663181862490452,-0.0299653180694935,0.000897920287005916,1,0.708535466107251,NA,"PH",9
0.825826517247465,0.13267933668752,0.0176038063838402,1,0.69775075987842,NA,"PH",10
0.624807880253865,-0.0683393003060803,0.00467025996632462,1,0.650185237959533,NA,"PH",11
0.619356102081122,-0.0737910784788233,0.00544512326306785,1,0.636081747709655,NA,"PH",12
0.559598973167433,-0.133548207392512,0.0178351236977535,1,0.721026490066225,NA,"PH",13
0.805962116832966,0.112814936273021,0.0127272098462857,1,0.678525723061172,NA,"PH",14
0.647806790783071,-0.0453403897768738,0.00205575094511884,1,0.652973106340982,NA,"PH",15
0.913896956801164,0.220749776241218,0.048730463710548,0,0.683351035581519,NA,"PH",16
0.684357804474761,-0.00878937608518415,7.72531319668071e-05,1,0.67435313044644,NA,"PH",17
0.883932844284252,0.190785663724307,0.0363991694827244,0,0.671347977433681,NA,"PH",18
0.945797842041928,0.252650661481983,0.0638323567472834,0,0.683039045013678,NA,"PH",19
0.692300079159145,-0.000847101400799799,7.17580783236982e-07,1,0.666221985058698,NA,"PH",20
0.78278008378357,0.0896329032236253,0.00803405734029577,1,0.616011381272633,NA,"PH",21
0.710518968765474,0.0173717882055288,0.000301779025457748,1,0.69239250275634,NA,"PH",22
0.780214394244536,0.087067213684591,0.00758069969879824,1,0.650078165711308,NA,"PH",23
0.68249350752816,-0.0106536730317848,0.000113500749068178,1,0.684461538461538,NA,"PH",24
0.683035979269453,-0.0101112012904924,0.000102236391536854,1,0.726698262243286,NA,"PH",25
0.547151587017662,-0.145995593542284,0.0213147133337637,1,0.595926966292135,NA,"PH",26
0.745230085213913,0.0520829046539681,0.00271262895719434,1,0.67893272635306,NA,"PH",27
0.741883264197354,0.0487360836374084,0.00237520584831247,1,0.685064935064935,NA,"PH",28
0.757737074693728,0.0645898941337827,0.00417185442421326,1,0.639815737051793,NA,"PH",29
0.658746805616932,-0.0344003749430133,0.0011833857962199,1,0.656040047424582,NA,"PH",30
0.7635969240814,0.0704497435214547,0.00496316636223875,1,0.66456610213995,NA,"PH",31
0.661325186146335,-0.0318219944136101,0.00101263932845983,1,0.739699863574352,NA,"PH",32
0.567908482581206,-0.12523869797874,0.0156847314714099,1,0.720811482197074,NA,"PH",33
0.697812394309381,0.00466521374943529,2.17642193279201e-05,1,0.69294028340081,NA,"PH",34
0.719742484514529,0.0265953039545841,0.000707310192436716,1,0.647359242650722,NA,"PH",35
0.784019705556435,0.0908725249964895,0.0082578157992376,1,0.671087533156499,NA,"PH",36
0.672099732605334,-0.0210474479546114,0.000442995065402077,1,0.688414109549756,NA,"PH",37
0.680508990111306,-0.0126381904486395,0.000159723857816081,1,0.713296729529721,NA,"PH",38
0.728827404977784,0.0356802244178385,0.00127307841450732,1,0.691577376915774,NA,"PH",39
0.632887551441948,-0.0602596291179972,0.00363122290143858,1,0.685921958684009,NA,"PH",40
0.658965565158864,-0.0341816154010818,0.00116838283142747,1,0.740306946688207,NA,"PH",41
0.849279307950055,0.15613212739011,0.0243772412033616,1,0.657865937072503,NA,"PH",42
0.607425309252579,-0.085721871307366,0.00734823922043661,1,0.723104975253972,NA,"PH",43
0.715528411836599,0.0223812312766534,0.000500919513459047,1,0.696633941093969,NA,"PH",44
0.776270171052132,0.0831229904921871,0.00690943154836422,1,0.671140011068069,NA,"PH",45
0.622798599733464,-0.0703485808264813,0.00494892282429998,1,0.699684708355229,NA,"PH",46
0.765184096964945,0.0720369164049998,0.00518931732514092,1,0.652838427947598,NA,"PH",47
0.613706675471047,-0.0794405050888982,0.00631079384877926,1,0.662116040955631,NA,"PH",48
0.669389414362835,-0.0237577661971099,0.000564431454676538,1,0.67991381374192,NA,"PH",49
